Date and time of simulation,Points for victory,Herbivore points,Predator points,Herbivores remain,Predators remain,Herbivores killed during simulation,Predators killed during simulation,Wildfires,Hunters
2025-06-03T23:59:46.352960600,1000,112,360,0,5,9,0,0,0
2025-06-04T00:01:07.214163300,1000,154,480,0,5,12,0,0,0
2025-06-04T00:04:36.037586900,1000,148,440,0,5,11,0,0,0
2025-06-04T00:12:23.543191500,1000,128,360,0,5,9,0,0,1
2025-06-04T00:21:12.733808800,1000,98,320,0,5,8,0,0,2
2025-06-04T00:41:58.281123300,1000,76,240,0,5,6,0,0,1
2025-06-04T00:42:32.415601500,1000,156,440,0,2,11,0,0,3
2025-06-04T00:44:42.171497400,1000,120,240,0,4,6,0,0,3
2025-06-04T05:55:27.841622700,1000,1004,520,34,5,13,0,1,0
2025-06-04T05:58:26.044605800,1000,54,240,0,5,6,0,1,0
2025-06-04T06:11:21.556471900,1000,104,360,0,5,9,0,0,0
2025-06-04T06:11:50.415982700,1000,128,360,0,5,9,0,0,0
2025-06-04T06:19:22.643476,1000,1004,680,4,3,17,0,5,6
2025-06-04T06:59:48.786461400,1000,934,720,0,5,18,0,0,3
2025-06-04T07:00:53.472713900,1000,914,1040,18,5,26,0,2,1
2025-06-04T07:03:28.441005200,1000,956,1080,20,5,27,0,0,0
2025-06-04T07:04:47.805475700,1000,280,80,11,0,2,0,2,0
2025-06-04T07:04:55.764950700,1000,280,80,11,0,2,0,2,0
2025-06-04T07:04:58.144613500,1000,280,80,11,0,2,0,2,0
