Date and time of simulation,Points for victory,Herbivore points,Predator points,Herbivores remain,Predators remain,Herbivores killed during simulation,Predators killed during simulation,Wildfires,Hunters
2025-06-04T01:27:31.339012300,10000,454,195,0,0,0,0,0,2
2025-06-04T01:44:54.218248300,1000,144,210,0,5,0,0,0,1
2025-06-04T01:45:24.283144800,1000,130,255,0,3,0,0,0,0
2025-06-04T01:51:26.357563200,1000,646,600,0,1,0,0,0,4
2025-06-04T01:54:07.984854,1000,378,330,0,1,0,0,0,2
2025-06-04T01:54:29.131711300,1000,440,180,21,0,0,0,0,3
2025-06-04T01:55:02.397530,1000,1002,945,14,1,0,0,0,1
2025-06-04T01:55:29.821172100,1000,478,555,0,1,0,0,0,1
2025-06-04T01:55:56.775489300,1000,506,660,0,1,0,0,0,4
2025-06-04T07:30:46.758952200,1000,454,585,0,1,0,0,4,0
2025-06-04T07:32:10.743527700,1000,170,75,13,0,0,0,1,1
2025-06-04T07:47:57.562015,1000,1002,600,45,1,0,0,0,1
2025-06-04T07:48:22.738854900,1000,498,675,0,1,0,0,0,2
2025-06-04T07:48:49.962855600,1000,628,345,0,0,0,0,2,0
